"","GSM559619","GSM559623","GSM559624","GSM559628","GSM559616","GSM559617","GSM559618","GSM559620","GSM559621","GSM559622","GSM559625","GSM559626","GSM559627","GSM559629","GSM559630","GSM559631","GSM559632","GSM559633","GSM559634","GSM559635"
"AC007787.2",2.1128,2.19069,2.17695,2.18403,2.18955,2.12067,2.18451,2.80995,2.26163,2.18955,2.25764,2.33733,2.19568,2.22802,2.12929,2.30505,2.10847,2.3481,2.14416,2.53823
"INTS7",4.62325666666667,4.31924333333333,4.39091333333333,4.05569333333333,6.46418333333333,5.66854333333333,4.76441333333333,6.60202666666667,4.00531666666667,5.23680666666667,4.77584,4.43597333333333,5.36766333333333,4.80225333333333,5.19079,4.37699,4.31454666666667,3.57726,5.17358,4.00123
"LOC101927539",2.44023,2.42388,2.36943,2.43616,2.39758,2.40229,2.40402,2.48985,2.49071,2.44889,2.44978,2.44889,2.46568,2.4567,2.47359,2.49693,2.41743,2.79825,2.47232,3.13812
"GRASPOS",2.21335,2.28553,2.2171,2.25292,2.30029,2.2693,2.26081,2.20274,2.29484,2.30311,2.30016,2.28059,2.28553,2.34798,2.25376,2.32382,2.28553,2.39129,2.32468,2.35214
"NR1I3",2.505415,2.544595,2.552955,2.538915,2.604515,2.474085,2.57904,2.55973,2.80958,2.689735,2.75826,3.22194,2.74614,2.694005,2.514385,2.687905,2.532735,2.94257,2.58807,3.59708
"AK311120 /// LSAMP",2.39483,2.44274,2.47125,2.41634,2.50735,2.44178,2.45622,2.96824,2.48287,2.53688,2.47909,2.57387,2.9597,2.43895,2.4913,2.51232,2.61363,2.57822,2.48976,3.1671
"LOC101928797",2.26092,2.31411,2.26848,2.3592,2.3678,2.25607,2.33621,2.31551,3.18234,2.41551,2.4573,2.57796,2.38351,2.42462,2.39815,2.3678,2.31945,2.43069,2.36171,2.60192
"FRRS1",2.80899,2.59794,2.61901,2.75853,2.75773,2.68549,2.78341,2.7593,6.15766,2.66714,2.8542,2.99229,2.82168,2.74733,4.19264,4.19054,2.72301,5.68182,2.77612,7.25118
"PPP6R2",5.53702,5.7599525,6.1645075,5.970445,5.5216975,5.8436125,5.71244,4.9909675,5.051475,5.63417,6.77794,6.45079,6.407635,5.57301,5.1452075,4.64316,6.0535075,5.62967,5.6548025,4.7076775
"LOXL4",4.558095,4.72901,4.745695,4.911285,3.717155,3.509925,3.954105,3.75152,4.840525,3.96491,3.63,4.32687,3.814395,4.03281,3.98767,4.769265,3.469855,4.17804,3.788835,4.10612
"NDST4",3.070795,3.011965,3.118375,3.025135,3.4118,3.111595,3.01938,3.234005,4.0419,4.04564,3.35073,3.35797,3.25141,3.047255,3.570165,4.230535,3.081475,3.9482,3.23111,5.188655
"LINC01449",2.4175,2.46076,2.49255,2.47452,2.49424,2.40628,2.47417,2.48162,2.49333,2.46661,2.65584,2.90885,3.17317,2.59445,2.3914,2.49192,2.4312,2.56295,2.47816,2.51279
"TMEM150B",2.06551,2.15821,2.05216,2.12043,2.21502,2.1486,2.20576,2.19674,2.38642,2.18038,2.23256,2.26601,2.22789,2.24165,2.16625,2.23063,2.17646,2.37829,2.21583,2.37276
"LOC101927124",3.34905,3.5792,3.36375,3.33505,3.31791,3.32219,3.3082,3.29541,3.33384,3.35017,3.81368,4.04871,3.36833,3.41225,3.30221,3.34607,3.32167,3.69231,3.3277,3.5514
"LOC101927884",2.98001,3.01854,2.91063,3.01471,3.11512,2.93486,2.99575,3.05575,4.53909,2.99433,3.27644,4.09383,3.13879,3.19951,3.10755,3.22413,2.99675,4.01864,3.14711,4.57099
"LATS1",3.9153325,4.04059,3.9175875,4.0868325,4.3023675,3.775505,3.84544,5.17347,4.2108325,4.551845,3.868565,4.222575,4.4401375,4.357825,4.1816,4.14502,4.0457,4.601825,4.1342175,4.73616
"LOC101928559",2.69258,2.58308,2.59656,2.62623,2.68975,2.61423,2.65083,2.61477,2.71102,2.74915,2.69871,2.83748,2.67806,2.70547,2.58161,2.69258,2.57413,2.87743,2.68561,3.72904
"MGC27382",2.59268,2.59753,2.55333,2.62337,2.68194,2.63269,2.61845,2.62684,2.68321,2.68805,2.69491,2.79005,2.75186,3.04515,2.64763,2.78836,2.55515,2.88738,2.65843,4.12965
"LOC102725438",2.09834,2.22953,2.13249,2.23723,2.26821,2.23957,2.23763,2.23957,2.21368,2.2863,2.24387,2.27952,2.23957,2.23957,2.28438,2.23893,2.19752,2.35729,2.26653,2.73355
"ZNF527",3.113465,2.69626,2.724265,2.978685,5.672335,2.67417,2.74562,2.778225,4.79389,2.66477,2.916465,2.86693,3.170555,2.79962,3.790995,4.43632,2.853055,3.58411,2.731165,5.230475
"SPATA21",2.60067,2.561975,2.565865,2.61667,2.701395,2.608555,2.662515,2.58589,2.86808,2.63501,2.82294,2.866935,2.831635,2.772895,2.80708,3.375775,2.6039,3.045325,2.67545,3.97103
"LPPR1",2.709645,2.86996,2.462125,2.578565,2.90469,2.70064,2.86759,2.816085,4.226375,2.89141,3.05065,3.355605,2.944195,3.023565,3.19625,4.346135,2.738755,3.755985,2.862215,5.55906
"ANKRD20A1 /// ANKRD20A12P /// ANKRD20A2 /// ANKRD20A3 /// ANKRD20A4 /// ANKRD20A5P /// ANKRD20A8P",4.04143,3.09762,3.21028,4.01255,4.32759,4.29799,2.0975,4.11823,6.8176,3.26459,4.58445,4.8096,5.19314,4.58891,5.01762,6.06897,3.07723,8.11413,5.54064,9.59766
"AC011997.1 /// BC021693",2.4273,2.4512,2.41999,2.44296,2.45603,2.39417,2.4529,2.46697,2.48813,2.48813,2.50425,2.62129,2.53183,2.50554,2.39818,2.5507,2.4584,3.32917,2.53839,3.11783
"LOC101928851",2.38437,2.31618,2.2815,2.32393,2.30303,2.28536,2.2697,2.28278,2.53375,2.22285,2.31935,2.48801,2.32477,2.31465,2.25167,2.38096,2.28748,2.42874,2.31935,3.57425
