"","GSM559619","GSM559623","GSM559624","GSM559628","GSM559616","GSM559617","GSM559618","GSM559620","GSM559621","GSM559622","GSM559625","GSM559626","GSM559627","GSM559629","GSM559630","GSM559631","GSM559632","GSM559633","GSM559634","GSM559635"
"DDR1 /// MIR4640",8.612575,6.6255125,7.4712975,7.7396575,11.13085,10.823425,10.661,10.924425,8.788065,11.02785,10.949775,9.5416375,9.6276875,9.0034975,8.9848025,8.1715025,11.121575,10.415175,10.6127,6.8059225
"RFC2",6.757395,6.59626,6.59237,6.198895,8.04251,7.98946,7.183605,7.855655,5.39082,8.25283,6.68487,7.00734,8.07388,6.211825,4.59597,5.034235,7.317655,5.435125,6.851175,4.63232
"HSPA6",6.80897,7.947625,8.169635,6.21392,6.04104,7.16573,5.869765,6.685145,4.357425,6.447305,7.189255,6.386085,6.412445,4.92569,6.12759,4.573455,9.42105,5.879605,6.610055,4.909505
"PAX8",3.0218625,2.863075,2.969585,2.917465,3.1016525,2.9624625,3.04809125,3.02880625,3.37090875,3.32164125,3.3878875,3.56568625,3.258495,3.149645,3.11921375,3.47580125,2.9227875,3.89846375,3.065565,4.26108
"GUCA1A",2.76884,2.59635333333333,2.65864,2.73381,2.75605,2.66814333333333,2.6918,2.60015333333333,2.74569,2.79875333333333,2.84378666666667,3.19721,2.95213333333333,2.79857,2.72042333333333,3.02317333333333,2.80671333333333,2.84394666666667,2.72464333333333,3.16875
"MIR5193 /// UBA7",7.56407,7.508035,8.342205,7.828975,5.253475,7.71139,6.649945,5.34613,7.397415,5.81153,6.660105,5.59394,5.301045,7.959105,8.22407,7.605575,9.93213,6.72371,8.96186,6.18376
"THRA",3.868475,3.9524825,4.7027525,4.79941,3.7508825,4.496785,3.75954,3.248265,4.2722475,3.76194,3.75048,4.1004425,4.069755,3.73161,4.0593725,4.233485,3.9201425,4.4328225,3.94126,4.8428125
"PTPN21",3.877466,4.160758,3.89205,4.336544,3.076332,3.385536,3.793402,3.194086,3.861052,3.062218,3.382486,3.215168,3.417158,3.587594,4.214082,4.359046,4.249248,3.238176,3.099336,3.568058
"CCL5",5.49776333333333,6.48379333333333,6.54102,4.98928666666667,5.37445333333333,7.54509666666667,7.2128,6.56718333333333,5.85487333333333,5.15807666666667,7.10374666666667,4.31089333333333,4.19809666666667,10.1855833333333,6.25524,5.83733,6.60743333333333,5.20393666666667,9.76502666666667,4.87513333333333
"CYP2E1",3.45027,3.36602666666667,3.40280666666667,3.50103666666667,3.29686333333333,3.97326333333333,3.34201333333333,3.32856333333333,3.83798333333333,3.48886666666667,3.35194,3.42218333333333,3.23391333333333,3.37550666666667,4.4317,4.22374333333333,4.46036,5.81675,5.75614666666667,3.65171666666667
"EPHB3",4.54367,3.318745,4.237085,3.393255,9.580975,4.29368,5.94341,5.342775,6.139115,4.9247,3.944905,8.572855,8.444355,4.434075,4.49317,4.61983,4.968795,5.10516,5.09561,5.02925
"ESRRA",6.06956,5.95953,5.945895,5.8389,6.385655,5.912725,6.59379,6.18661,5.92748,5.900145,7.172905,6.105035,5.63112,5.758735,5.574555,5.25298,5.80102,5.495535,5.801725,5.65108
"CYP2A6",3.005905,2.8947975,3.5808525,3.426775,3.0490525,12.881875,2.98401,2.887565,3.12961,2.9276475,3.00648,3.3681025,3.1105025,3.1959825,7.49632,3.166635,2.705665,7.5983675,7.5399,4.2444225
"SCARB1",4.885346,4.831464,6.193826,5.27236,5.066412,4.734788,4.88968,3.76912,4.818246,5.070446,6.3346,6.782204,6.834612,4.194078,3.842836,4.408976,5.164554,4.420804,4.750586,4.348542
"TTLL12",6.686455,6.341775,6.383115,6.22295,7.88539,7.22629,7.652575,7.421275,6.579845,7.986515,7.9383,8.95239,8.80642,6.804305,6.1641,6.18168,8.76551,7.22233,7.536195,4.788105
"LINC00152 /// LOC101930489",3.92485,5.73759,4.03342,5.97346,3.99481,3.98146,4.20899,3.81276,4.06316,4.02267,4.3326,4.59761,4.04333,4.06316,3.91827,4.07737,5.6014,4.42219,4.18126,4.2263
"WFDC2",3.23253333333333,2.70385333333333,3.07136666666667,3.22669666666667,2.80136333333333,4.17397,4.00942,4.72358666666667,4.32601333333333,4.16024333333333,3.31474666666667,3.58610333333333,3.3765,4.48459666666667,4.05866666666667,3.64602333333333,4.80861333333333,5.83334666666667,4.38551333333333,4.01882333333333
"MAPK1",5.77431571428571,5.97949714285714,5.36829,5.60904428571429,5.97228428571429,5.05251714285714,5.69354714285714,5.98410571428571,5.23407285714286,6.30938714285714,5.77707,5.29344285714286,5.60364285714286,5.64081428571429,5.81498571428571,5.40028857142857,5.2653,5.02353428571429,5.38638714285714,4.59915285714286
"ADAM32",2.68016,2.62991,2.67714,2.69625,2.65381,2.58513,2.658,2.56568,2.71633,2.68498,2.72695,2.79898,2.71394,2.71715,2.81194,3.74434,2.60433,2.84122,2.66064,5.09369
"SPATA17",2.87572,3.01001,2.69563,2.71133,3.655175,4.22584,3.53299,4.6891,2.92238,3.060475,2.69976,2.883615,2.725695,3.899575,5.17634,3.50225,3.06199,4.181545,4.382705,3.77841
"PRR22",2.31966,2.353475,2.22226,2.175475,3.08956,2.80625,2.38625,2.386845,2.453255,2.628285,2.435775,3.023685,2.48433,2.46011,2.59241,2.440865,4.0647,3.425215,2.462875,2.5757
"PXK",4.177805,5.1037725,3.8591925,4.2880425,4.5701025,5.217475,3.921685,3.2099275,3.3883125,4.0399325,3.36742,3.1550325,3.2523725,3.9180475,3.096105,3.5268175,3.66715,3.26097,3.7779375,3.33554
"VPS18",4.28604,4.21827,4.693675,4.254225,4.17325,4.342995,4.372375,4.83392,4.369005,4.178545,4.594285,4.335165,4.33561,4.340065,4.30332,4.12356,5.09441,4.515795,4.780735,4.84375
"MSANTD3",7.015725,6.13057,6.78516,6.16066,7.034285,6.266055,6.94432,7.45722,5.205215,5.248005,6.97957,6.752765,7.83202,5.902075,6.38718,5.626655,7.072115,4.58615,6.102595,5.23892
"SLC46A1",4.4624175,4.6209125,4.64591,4.438065,4.19705,4.1644,4.1227475,4.000865,4.294235,4.8651,4.0820775,4.205175,3.860605,4.0043175,4.3243125,4.2988725,4.2874425,4.71307,4.6969575,4.409635
"TIMD4",6.38378,2.50422,2.48585,2.32943,2.4903,2.38076,2.50116,2.48251,4.80778,2.52317,2.52528,2.58826,2.53437,3.80216,3.63533,2.56114,2.41052,2.78174,2.5767,4.51671
"SLC39A5",2.79258,2.76294,2.752975,2.816565,2.81403,2.64711,2.78349,2.74243,2.910845,2.7491,2.8997,3.115855,2.83499,2.844605,2.86843,2.879835,2.805285,3.896785,2.87277,3.709385
"ZDHHC11 /// ZDHHC11B",5.859515,6.320255,6.10266,6.336535,9.03825,8.44814,4.397795,7.191985,6.452315,6.177055,4.57163,5.633695,6.23108,6.026205,8.858965,7.208885,8.766755,7.535335,8.151275,6.571665
"ATP6V1E2",5.74932,5.06225,5.6942,5.98587,6.84839,4.70479,5.07465,4.76611,4.74848,4.79672,4.62464,6.60368,7.17423,4.56383,6.03943,5.95741,6.92493,6.64746,5.65874,4.8101
"AFG3L1P",4.57371333333333,4.91239,4.79795666666667,4.86118333333333,5.44679666666667,5.36928333333333,4.18370666666667,5.29531333333333,4.65375333333333,4.61973,3.92247333333333,4.73984,5.25650666666667,4.49804,5.11411333333333,4.54897,4.92252666666667,4.34485,5.92997333333333,3.47192666666667
"CILP2",3.94485,3.064345,3.263515,3.08792,3.21053,3.420635,6.09205,3.231155,3.514925,3.67301,7.142745,3.442755,3.12445,2.97024,3.302105,3.129675,5.07697,4.40694,3.758065,3.43688
"PIGX",4.98640333333333,5.20282,4.96634666666667,4.88115333333333,4.91399333333333,6.38835333333333,5.24707666666667,5.58630666666667,4.12683,6.82457666666667,4.92397,6.13961,6.68227666666667,5.19662333333333,5.19403666666667,4.67804,4.88424666666667,4.71470666666667,5.65604666666667,4.80746
"TMEM196",3.09928,2.99231,3.10774,2.70255,2.607465,2.561995,2.62944,2.557075,2.58185,2.64357,2.66481,3.1867,2.62036,2.67743,2.629685,2.65987,2.57845,2.66822,2.674775,2.80563
"SLC39A13",5.47445,5.126625,5.383865,5.36959,4.37901,5.330965,6.356925,5.43691,5.205385,5.29828,6.049285,5.64674,5.459995,4.642825,5.316055,5.265515,5.832025,5.174355,5.519315,4.91501
"BEST4",2.20414,2.24293,2.24813,2.23473,2.22798,2.84401,2.20748,2.13411,2.25488,2.30172,2.22473,2.80913,2.27673,2.22439,3.62305,2.23066,2.30453,2.31174,3.95985,2.47457
"AK9",2.93819,3.39084,2.86607666666667,3.29513666666667,3.85583,3.01572666666667,3.38147333333333,5.09342666666667,3.58679,3.26350333333333,3.13819,3.25094,3.68585,3.86527333333333,4.50856666666667,4.25764333333333,3.41268333333333,3.82139333333333,4.05855666666667,5.86560666666667
"CORO6",5.41837,6.01448,5.12367,6.46704,4.55642,4.58454,5.04326,3.66187,4.80751,4.49068,4.7764,5.37756,4.82977,5.31824,6.13353,4.83672,6.27899,5.83139,10.5408,6.59804
"TMEM106A",3.7317175,3.55307,3.96578,3.46552,3.7061875,3.668825,3.62134,3.5349875,3.2389375,3.33587,3.8055925,3.574815,3.45483,3.70755,3.03327,3.2996125,3.7076475,3.63259,3.6639325,3.8883425
"ALG10",3.1502,3.022395,3.245845,3.2366,5.11338,3.56417,2.99973,3.880075,3.696225,3.409395,3.32525,2.685175,3.29047,3.313035,4.465105,3.926835,3.01814,5.1232,3.35452,4.724445
"TTC39C",5.84975333333333,6.38861,6.35294333333333,7.19861333333333,5.67667666666667,6.57016,5.48432,5.26919666666667,5.48468333333333,5.80076333333333,3.61717333333333,6.30077,6.47077333333333,6.21598333333333,6.53665,6.27416666666667,6.83699333333333,6.16152,6.18924,5.65459666666667
"NEXN",8.234045,8.253625,8.13889,8.414165,3.86326,4.565175,6.89363,4.22679,6.327875,4.1933,5.97656,4.51314,3.854765,6.220965,5.289345,5.71035,5.01782,5.01759,4.375255,5.03754
"C15orf40",4.50796,5.42711,4.908415,5.133935,5.02002,4.82831,4.54468,5.375215,4.292135,4.792305,4.325265,4.131115,5.098205,4.96584,5.63438,4.96517,5.12159,4.59743,5.47486,3.792415
"RAX2",4.08284,4.06073,4.03267,4.09937,4.18701,4.05459,4.11283,3.98279,4.46251,4.14631,4.17377,5.07184,4.62507,4.83122,4.08245,4.15183,3.93044,4.51103,4.08431,5.53714
"MFAP3",4.89507666666667,4.75187,4.62855333333333,4.88708333333333,4.37548333333333,4.42281666666667,5.21848,4.27887666666667,4.97267666666667,5.08507,4.30174666666667,3.89756,4.10168333333333,4.95851333333333,4.91569666666667,4.57906,4.59951333333333,4.23235333333333,4.48076,4.41732666666667
"EYA3",4.18585,4.21026,3.987815,4.0001675,4.2857275,4.041915,4.048605,4.034475,4.1902875,4.2533025,4.2058675,4.652,4.8900575,4.10389,4.4655175,4.2838725,4.3211025,4.0555925,4.4505425,4.4139425
"GIMAP1",5.328452,6.291252,7.01519,6.80708,3.466004,4.395322,4.617344,3.878992,5.25947,3.92212,4.05736,3.843916,3.905324,6.143168,4.605852,5.200216,4.736892,4.041476,5.703278,3.734608
"KLK8",2.988765,2.72121,2.800815,2.882865,2.952975,2.72562,2.96127,2.85147,3.648595,2.920825,4.469785,3.540055,3.28721,3.01761,3.210535,3.387375,2.83596,3.846385,2.964005,3.97303
"CCDC65",2.53653666666667,2.48821666666667,2.48067666666667,2.55054333333333,2.52581,2.49269666666667,2.52641666666667,2.48952,2.83692666666667,2.66763,2.63676,2.98161333333333,2.67198333333333,2.81354333333333,2.49582,2.6725,2.48572,2.92902333333333,2.55806,3.79478333333333
"FAM122C",2.9899675,3.0898325,3.0112725,3.43529,2.933325,2.91317,2.86284,2.6654675,2.893075,2.8746925,2.9302025,3.6179425,2.927505,3.2201875,3.7243825,3.342035,3.4671575,3.0116875,3.2128525,3.8815975
"CCDC11",3.09895,2.967125,3.158545,3.1637,3.279345,4.058605,3.144865,3.19419,3.87959,3.40038,3.30394,3.476675,3.331925,3.527005,4.414365,3.25501,4.115495,4.47146,3.2505,4.009775
"ARMCX4",3.754464,3.975808,3.728254,4.250742,3.874852,4.3181,3.330544,3.065648,3.976748,3.225294,3.004504,3.731922,3.491782,3.589656,3.616782,4.342158,3.819404,3.618196,3.624524,4.830788
"RBBP6",6.08461375,5.877435,5.92747375,6.291285,6.20180375,5.89195125,6.0061875,6.14605125,5.88337625,6.56890625,5.68799125,5.634575,5.91243125,6.58888125,5.7004875,5.64565375,6.34564625,5.984845,6.55133,5.28708125
"CENPBD1",3.97145,5.11782,5.424785,5.567025,5.429465,4.93793,4.227505,4.482625,3.96717,5.130115,5.247695,5.29367,6.45385,4.530175,3.87297,4.161335,5.49826,3.694855,7.17032,4.03717
"TRIOBP",7.321998,7.49378,7.782188,7.395524,6.332376,6.654764,6.964616,7.11294,7.282862,6.313122,7.492246,7.357724,7.41004,6.298646,6.575936,6.831924,6.528556,6.673882,6.460288,6.118242
"CATSPER1",2.32276,2.44834,2.38921,2.38683,2.42585,2.39208,2.37196,2.41305,2.38093,2.40583,2.39574,2.41171,2.4212,2.43529,2.3814,2.44919,2.37883,2.57954,2.42813,2.55958
"HOXD4",2.89211,2.58305,4.45367,2.95516,2.5943,2.53077,2.59393,2.47615,2.61462,2.58305,2.58971,2.6625,2.6122,2.70685,2.45533,2.54141,2.49664,2.59673,2.53028,2.64901
"GSC",2.62566,2.97188,2.73203,2.64989,2.6262,2.54806,2.63681,2.58552,2.69724,2.51123,2.59952,2.64607,2.62315,2.70219,2.60406,2.65228,3.86843,2.71022,2.56761,2.71854
"SP7",2.03291,1.95735,1.99642,1.98993,1.96199,1.90758,1.93565,1.89988,2.0617,1.97352,1.95978,2.01484,1.96758,2.01053,1.88257,1.9556,1.89255,1.93764,1.89542,1.99262
"PDE7A",4.53889,4.56650333333333,4.10489833333333,3.95623333333333,6.61656166666667,4.97781666666667,4.80384,5.03039333333333,4.17084166666667,5.36018,4.58818333333333,5.01545166666667,5.48340166666667,5.86950833333333,5.16420833333333,4.90024666666667,4.7971,4.21367166666667,5.04574666666667,4.93926166666667
"CNOT7",6.6636475,7.2251475,6.91953,7.0419125,6.39221,8.2520225,6.666415,7.055225,6.9921525,7.756595,7.1366625,6.74347,6.9180875,7.6710375,6.56766,7.0252375,6.965085,6.62915,6.8496125,6.66654
"CRYZL1",6.249986,6.796418,6.407228,6.986124,5.730224,6.5238,5.93385,5.843242,5.799042,6.558566,5.361974,5.44663,6.023922,6.286676,5.937578,6.182778,6.261356,5.566136,6.588914,4.018354
"PRSS33",2.46959,2.570415,2.550365,2.60491,2.59881,2.495895,2.53589,2.534905,2.91063,2.653415,2.69524,3.36777,2.92675,2.713985,2.54847,2.719885,2.514085,3.16727,2.561735,3.492325
"C19orf26",2.392095,2.397515,2.35252,2.3282675,2.46004,2.519335,2.4353325,2.5243025,2.516245,2.4182175,2.4806875,2.83126,2.86983,2.526495,2.5739875,2.597705,2.3538425,2.8487675,2.45045,3.5623275
"MCMDC2",2.479735,2.54122,2.51075,2.497055,3.113875,2.581745,2.42932,2.545315,2.544155,2.541075,2.535675,2.710955,2.55264,2.57868,2.93277,2.53815,2.484335,2.691465,2.519475,2.739545
"TIRAP",4.0742275,3.8182825,3.989435,4.0384725,3.88794,3.851465,4.030575,4.184805,4.68901,4.02333,4.3334325,4.00512,3.7567975,3.98007,4.3988425,4.8301725,3.80039,4.401515,4.434235,5.58906
"LEAP2",4.74358,4.70795,5.39565,5.47464,5.68032,5.7342,4.82782,4.8464,5.66668,6.17661,5.52547,4.94775,5.6219,6.67633,7.52364,5.87817,6.55939,5.50881,5.75241,5.53295
"MSI2",4.55623111111111,4.51673,4.21681777777778,4.38534222222222,5.62679666666667,7.31734,5.38595555555556,6.36493555555556,4.85304777777778,7.37677666666667,3.8518,5.77081777777778,6.24917888888889,5.53730888888889,5.47955333333333,4.56037888888889,5.20669777777778,7.24744555555556,6.05752111111111,5.07127111111111
"SCIN",3.34455333333333,3.44253,5.29709666666667,3.16157666666667,3.28062666666667,3.21576666666667,3.58345666666667,3.29017333333333,3.32379333333333,3.13971333333333,3.87441,3.35323,3.23290333333333,3.25588,5.44035666666667,3.83451666666667,4.99006333333333,3.69630333333333,3.26360666666667,4.49022666666667
"CTCFL",2.62341,2.48492,2.48254,2.59693,2.61053,2.47066,2.5151,2.61104,3.69446,2.58317,2.62341,2.63187,2.5714,2.63837,3.63462,4.74518,2.5333,4.67845,2.68518,5.81118
"C4orf33",3.84400333333333,4.24670333333333,3.76087,3.90447666666667,4.12658666666667,3.89282,3.74705333333333,4.22769333333333,3.96589333333333,3.80864333333333,3.73128,3.85842333333333,3.82459333333333,4.10103666666667,3.84641333333333,3.93075666666667,3.82088666666667,4.23336,3.75407,5.12453666666667
"ZNF333",2.99568666666667,3.23813166666667,3.118205,3.30302166666667,3.17976,3.30762166666667,3.03360666666667,3.29713166666667,3.32629666666667,3.001115,2.936985,3.212635,3.31409166666667,3.21222333333333,3.24704833333333,3.31206833333333,3.15978666666667,3.57116666666667,3.07426666666667,3.513365
"TVP23C",2.79888,3.27026,3.13248,2.9797,3.25405,3.07993,3.22608,2.82168,3.42214,3.13909,3.29062,3.29096,3.29899,3.27992,3.21683,3.27577,3.25405,3.84175,3.30937,3.51253
"RDH10",5.257955,6.0309775,5.3291775,5.77447,5.8064125,5.23203,4.48567,5.0634975,5.39928,5.235755,6.982015,5.423485,6.3794975,4.07391,4.3452875,4.987995,4.10888,4.286425,3.9559925,4.9094625
"SRSF12",2.816265,2.84465,2.758285,2.6947,4.184045,2.805775,2.74565,3.164745,3.058315,2.84678,2.90798,3.11442,2.891815,2.81346,2.77387,2.912965,2.70903,3.27586,2.86184,5.172185
"FAM71A",3.46989,3.51636,3.40793,3.47749,3.571935,3.50947,3.49749,3.562065,3.59035,3.538215,3.55726,4.363945,3.58166,3.58183,3.571275,3.9148,3.365095,4.10881,3.54673,4.951405
"GAPT",3.15399,3.01211,2.97394,3.13069,3.13713,4.06164,3.15399,3.17628,3.05264,3.0821,3.12069,3.15979,3.12483,4.41058,3.10733,3.23915,3.4739,3.1521,3.71118,3.36153
"FLJ30901 /// SCUBE1",2.0399,2.48179,4.51535,3.36113,2.07199,2.07099,2.02271,2.09751,2.11161,2.05095,2.06746,2.07802,2.08303,2.0394,2.07148,2.79761,2.74112,2.20263,2.09162,2.20621
"ERICH5",2.923625,2.77455,2.748715,2.802475,3.173385,2.70294,2.9089,2.81778,2.744785,2.790765,2.83493,2.85283,2.91946,2.780965,2.856735,2.96361,2.60167,2.85086,2.72105,3.11433
"CCDC185",3.02395,2.43151,2.35589,2.44735,2.47018,2.48902,2.48139,2.44053,2.55646,2.71884,2.57278,2.55646,2.55646,2.56574,2.53131,2.60025,2.47343,2.82034,2.52134,3.11442
"ENTHD1",2.750765,2.77889,2.75567,2.798835,2.8105,3.94785,2.830915,2.803725,3.23906,2.833945,2.816005,3.30964,2.944065,2.88046,3.12867,2.838985,2.7725,2.899535,2.779315,3.469275
"TSSK3",2.23543,2.29449,2.22832,2.27155,2.28467,2.22246,2.2845,2.21386,2.31349,2.33776,2.29209,2.53015,2.30224,2.47296,2.17813,2.271,2.23908,2.37492,2.22098,2.40599
"WFDC6",4.23003,3.64054,4.19141,4.16771,4.20934,3.76528,4.21579,6.15245,4.14991,4.23003,4.97361,5.09965,4.41243,3.87919,4.64924,4.23003,4.16733,4.27994,4.02957,4.91944
"CLEC12A",3.68993333333333,2.97209666666667,2.93887,3.01013333333333,3.03563,2.88649,2.93494,2.97821,3.28406,2.91833666666667,3.08735,3.17761333333333,3.06025,3.10419666666667,2.96429333333333,3.09453333333333,2.81138,3.40136666666667,2.99942,3.56597666666667
"BRF1",3.028285,2.8148975,3.09874,3.0248375,3.0977725,3.046355,3.119345,3.0879825,3.074695,3.7980675,3.06739,3.1021775,3.2951725,3.1351675,3.077645,3.0494175,3.3142775,3.3427425,3.238475,3.2540025
"C15orf27",2.36562,2.36624,2.35948,2.24003,2.40591,2.30682,2.33999,2.35073,2.55907,2.38253,2.52887,2.5588,2.62851,2.94804,2.3768,2.49334,2.35506,2.5077,2.3939,3.17311
"BACH1 /// GRIK1-AS2",2.855785,2.781385,2.77199,2.779715,2.84951,2.78515,3.141,2.734445,3.4437,2.94141,2.947155,3.2338,2.87025,3.529005,2.84216,3.1583,2.8214,3.189515,2.866965,4.01842
"CALML6",3.75423,3.80418,3.64289,3.77411,3.68152,3.666,3.65723,3.62961,4.28278,3.70032,3.94843,3.87592,3.79611,3.7246,3.67206,3.83424,3.8673,3.83235,3.69746,5.11614
"NLRP5",2.19989,2.19953,2.29736,2.21731,2.24242,2.16112,2.24535,2.21819,2.82425,2.25117,2.2314,2.35253,2.25117,2.27459,2.17054,2.47577,4.30755,2.52226,2.31043,2.36917
"ODF4",2.4159,2.343935,2.35833,2.363135,2.4936,2.327645,2.32272,2.28529,2.325805,2.382045,2.349825,2.415395,2.318715,2.405965,2.301955,2.28702,2.300675,2.54417,2.267275,2.44159
"CLEC4F",2.57353,2.65641,3.3179,3.0308,4.78188,2.52197,2.6312,2.62642,2.6072,2.56001,2.8777,6.0862,5.37379,2.61614,2.54045,2.89328,2.57474,2.66033,3.08956,2.80746
"DEFB106A /// DEFB106B",2.41265,2.444765,2.32121,2.438,3.106765,2.408575,2.4524,2.409865,4.25398,2.446715,2.46687,2.56056,2.49228,2.471205,3.08601,4.309825,2.29559,4.574455,2.481965,6.2122
"WFDC9",2.533965,2.652115,2.432885,2.569,2.882565,2.608225,2.881495,2.57286,3.79471,2.401495,2.88755,3.00988,2.93945,2.907505,3.27945,4.224095,2.6038,3.517275,2.991685,4.67836
"NEDD1",6.08627333333333,6.16478666666667,6.07932333333333,6.22955,6.53409333333333,6.83831666666667,5.92536666666667,6.44004333333333,6.0713,8.81943,5.53066666666667,5.57166666666667,5.7411,6.67009,6.45376,6.08645,6.59527666666667,7.10331666666667,6.55387,6.70627666666667
"TTLL10",2.47476333333333,2.4792,2.48918666666667,2.44404,2.53331666666667,2.47866666666667,2.49194666666667,2.49628666666667,2.56058666666667,2.50296,2.52134666666667,2.57114333333333,2.52337333333333,2.59465,2.48704333333333,2.53574,2.46807333333333,2.72221666666667,2.49405,2.71731666666667
"CALR3",2.32521,2.32667,2.35289,2.34434,2.32285,2.23046,2.26719,2.30221,2.35029,2.25784,2.33438,2.48907,2.34905,2.36255,2.27707,2.34811,2.30161,2.86194,2.30348,2.61555
"C10orf25",3.10663,2.6362,3.88115,4.12845,2.55671,2.33495,2.51423,2.35359,3.21338,2.31934,2.6349,2.46026,2.69094,2.94686,3.20676,3.26116,2.3638,3.01332,2.69459,3.01866
"ETV3",5.69566666666667,5.37302333333333,5.31031333333333,5.58797666666667,5.82697,5.26870666666667,5.36223333333333,5.42014666666667,5.58946,6.06112,5.26281333333333,5.18735,5.53288,4.88878333333333,5.38794333333333,5.63157666666667,5.56951333333333,5.72422333333333,5.39291,5.63861
"KLHL10",2.661075,2.47538,2.637095,3.05089,2.502795,2.43194,2.5036,2.42346,2.531025,2.537895,2.52403,2.595895,2.52557,2.584375,2.46917,2.61898,2.43773,2.76636,2.510795,2.85552
"TM2D3",9.124365,9.370845,9.072585,9.464955,8.656685,8.13647,8.90573,9.47035,9.272825,9.41459,8.394745,9.27391,10.300425,8.157665,9.921375,9.16088,10.032005,8.583215,10.12305,6.91075
"ZNF485",3.22297,3.58587,3.88905,4.02455,5.38672,3.92975,4.01616,3.86623,3.55062,4.08925,4.06958,4.30995,4.24129,4.16024,4.17142,3.96334,3.98861,3.91039,4.2333,3.96128
"WDR17",2.61877,2.821265,2.80069,2.89747,2.779575,2.764195,2.79183,2.81013,2.952515,2.95168,2.841435,2.925315,2.85298,2.845785,2.75712,2.834095,3.154405,3.12327,2.803265,3.74309
"MFSD6L",2.11594,2.1139,2.1069,2.08213,2.15121,2.11485,2.12821,2.08291,2.16633,2.12336,2.15591,2.20065,2.17237,2.20897,2.15875,2.14837,4.297,2.57791,2.20349,2.43503
"CDH23 /// LOC100653137",2.3675675,2.553375,2.222255,2.9520975,2.23764,2.2109975,2.23566,2.226385,2.2956475,2.19632,2.24129,2.2341775,2.276805,2.2827825,2.262605,2.274565,2.1815475,2.46493,2.25647,2.409745
"ANKAR",3.01344,3.082845,3.07656,3.04246,3.08743,2.95378,3.01916,2.990365,3.746025,3.09279,3.15518,3.36719,3.112015,3.17395,3.055105,3.1752,3.127495,3.541725,3.03722,4.41909
"MEGF11",2.58878,2.61655333333333,2.53444666666667,2.54146333333333,2.63685666666667,2.54143666666667,2.62678,2.65954666666667,2.66721333333333,2.64188,2.91726,2.96096,2.78339666666667,2.67987666666667,2.54071,2.70293333333333,2.5732,3.01319,2.59896666666667,3.33677333333333
"GPR182",2.47803,2.400375,2.441575,2.47531,2.4981,2.399805,2.49876,2.46339,2.78043,2.58538,2.969155,2.68345,2.69312,2.691555,2.48648,2.86255,2.403385,2.99483,2.50735,3.836175
"ESX1",2.7208,2.9128,2.83182,2.89021,2.97858,2.90184,2.94467,2.9171,3.22093,2.99328,3.19491,3.38448,3.07759,3.03392,2.77335,3.12722,2.79486,3.28119,2.97222,4.77779
"C8orf12",2.38632,2.45905,2.38469,2.45073,2.44113,2.35686,2.4406,2.45275,2.45318,2.52053,2.47273,2.6271,2.46801,2.49674,2.38932,2.47641,2.40576,2.49812,2.41988,2.53659
"LOC653486 /// SCGB1C1",2.48662,2.51829,2.5195,2.53583,2.60094,2.51699,2.52801,2.53232,2.61307,2.571,2.62477,2.99429,2.68516,2.70777,2.50518,2.59823,2.49863,2.78534,2.60977,2.82563
"DNAJC5G",2.62618,2.65326,2.16989,2.49013,2.39259,2.40703,2.40075,2.44379,2.49379,2.49379,2.50494,2.55769,2.51059,2.54512,2.49379,2.49995,2.40538,2.93936,2.46799,3.48598
"WDR88",2.325055,2.34446,2.33159,2.35224,2.38999,2.298795,2.286605,2.342785,2.439355,2.42105,2.424575,2.505065,2.386345,2.44187,2.33661,2.382605,2.340385,2.43315,2.34942,2.641555
"PRUNE2",5.35037,4.02685333333333,4.60033333333333,4.46257333333333,3.43783333333333,3.55502,4.31399,3.71129,3.72214333333333,3.63832666666667,3.43627666666667,3.49700333333333,3.74460666666667,3.49792333333333,4.714,4.21346,4.6697,3.62310333333333,3.35151333333333,3.68513
"MBD3L2",2.42653,2.46404,2.45169,2.45402,2.40572,2.38629,2.35319,2.45876,2.80184,2.3509,2.44304,2.49454,2.48212,2.41516,2.33974,2.48115,2.39543,2.63241,2.41138,2.63787
"ADAMTSL1",3.52684833333333,3.16225333333333,3.48478166666667,3.12714666666667,2.64655,2.61590833333333,2.80984166666667,2.61320166666667,2.97139333333333,2.67238833333333,2.68649833333333,2.74914166666667,2.61869,2.647805,3.21933833333333,2.76360333333333,3.14340333333333,2.76859833333333,2.66111,3.546725
"MBD3L1",2.75405,2.633885,2.590325,2.68893,2.6744,2.60726,2.64056,2.68402,2.7834,2.65554,2.75265,2.86052,2.745985,2.76798,2.64146,2.689535,2.57082,3.1457,2.64118,3.46933
"FAM46D",2.56234,2.65253,2.57957,2.58297,2.57776,2.53413,2.52912,2.53585,2.89707,2.50487,2.593,3.29124,2.58516,2.55818,2.5265,3.15446,2.51179,2.63068,2.55305,4.22279
"SERPINB11",2.28257,2.27564,2.328,2.29042,2.2648,2.19691,2.27242,2.25507,2.40331,2.2554,2.35753,2.40978,2.30033,2.38044,2.21297,2.73611,2.19354,2.4404,2.34747,2.43113
"LINC00161",2.65762,2.77217,2.679545,2.711325,2.80977,2.74065,2.833805,2.75977,3.03218,2.84638,3.072485,3.37477,2.977215,3.142755,2.84134,3.230605,2.692995,3.59185,2.85144,4.72159
